playerSum,dealerUpcard,usableAce,action,qValue,visitCount
5,3,0,0,-0.103589,51
5,3,0,1,-0.342230,15
17,11,1,0,-0.370057,79
17,11,1,1,-0.595552,25
9,6,0,0,0.181653,259
9,6,0,1,-0.012457,35
17,6,1,0,0.128605,94
17,6,1,1,0.049527,45
13,8,1,0,-0.048998,95
13,8,1,1,-0.803392,12
15,4,1,0,0.048336,74
15,4,1,1,-0.067994,12
13,6,1,0,0.207859,87
13,6,1,1,0.025578,23
17,8,1,0,-0.041608,111
17,8,1,1,-0.401437,15
4,10,0,0,-0.284466,118
4,10,0,1,-0.928957,10
12,8,1,0,0.020320,34
12,8,1,1,-0.589749,4
15,6,1,0,0.016042,105
15,6,1,1,-0.110207,12
6,4,0,0,-0.053043,63
6,4,0,1,-0.179617,35
20,4,1,0,0.269978,20
20,4,1,1,0.668800,155
12,7,1,0,0.100948,30
12,7,1,1,-0.178577,5
13,4,1,0,0.047151,82
13,4,1,1,-0.389831,21
12,9,1,0,0.128905,42
12,9,1,1,-0.314627,5
16,5,1,0,0.048439,94
16,5,1,1,-0.149612,9
17,5,1,0,0.133373,77
17,5,1,1,-0.030446,24
13,11,1,0,-0.339562,80
13,11,1,1,-0.626413,11
