playerSum,dealerUpcard,usableAce,action,qValue,visitCount
14,2,1,0,-0.037228,1746
14,2,1,1,-0.272727,308
13,3,1,0,0.049096,1935
13,3,1,1,-0.555556,9
11,5,0,0,0.352144,8187
11,5,0,1,-0.166667,48
16,9,1,0,-0.208961,2455
16,9,1,1,-0.800000,20
14,9,1,0,-0.095897,2096
14,9,1,1,-0.750000,16
9,6,0,0,0.239653,5654
9,6,0,1,-0.250000,40
14,5,1,0,0.101456,2129
14,5,1,1,-0.083333,24
8,7,0,0,0.087117,4867
8,7,0,1,-0.769231,26
8,5,0,0,0.118306,3305
8,5,0,1,-0.099391,986
15,4,1,0,0.020420,1714
15,4,1,1,-0.263158,19
19,5,1,0,0.361702,47
19,5,1,1,0.436876,2804
6,7,0,0,-0.160422,2562
6,7,0,1,-0.437500,32
13,5,1,0,0.145390,1974
13,5,1,1,-0.600000,10
17,7,1,0,0.008811,227
17,7,1,1,-0.097936,2665
4,9,0,0,-0.315930,747
4,9,0,1,-1.000000,4
15,3,1,0,0.016431,2191
15,3,1,1,-0.000000,12
14,3,1,0,0.021290,1550
14,3,1,1,-1.000000,3
15,2,1,0,-0.012284,1791
15,2,1,1,-0.215470,362
17,3,1,0,-0.157895,19
17,3,1,1,-0.113688,2630
4,5,0,0,0.040816,686
4,5,0,1,-0.166667,12
13,7,1,0,0.032871,1947
13,7,1,1,-0.250000,8
12,3,1,0,0.157025,726
12,3,1,1,-1.000000,3
14,11,1,0,-1.000000,6
14,11,1,1,-0.771466,1514
16,4,1,0,0.044627,2308
16,4,1,1,-0.333333,21
12,2,1,0,0.086895,702
12,2,1,1,-1.000000,5
12,7,1,0,0.116358,593
12,7,1,1,-0.400000,140
16,8,1,0,-0.085807,2459
16,8,1,1,-1.000000,8
4,6,0,0,-1.000000,4
4,6,0,1,-0.115880,699
17,4,1,0,0.031595,2627
17,4,1,1,-0.034483,29
17,5,1,0,-0.052632,38
17,5,1,1,-0.003372,2669
4,7,0,0,-0.111492,583
4,7,0,1,-0.611511,139
12,5,1,0,0.161054,683
12,5,1,1,0.000000,10
14,8,1,0,0.057663,1977
14,8,1,1,-0.483146,89
16,3,1,0,-0.034138,2402
16,3,1,1,-0.333333,9
12,11,1,0,-0.397112,277
12,11,1,1,-0.725490,102
15,7,1,0,0.037940,2214
15,7,1,1,-0.800000,10
15,11,1,0,-1.000000,9
15,11,1,1,-0.763636,1430
13,11,1,0,-0.777778,18
13,11,1,1,-0.764786,1471
16,7,1,0,-0.023331,2486
16,7,1,1,-0.600000,20
12,6,1,0,0.211268,710
12,6,1,1,0.111111,9
12,4,1,0,0.136637,666
12,4,1,1,-0.076923,26
